Entity,Code,Date,Total confirmed cases of COVID-19 per million people (cases per million)
Afghanistan,AFG,"Feb 25, 2020",0.026
Afghanistan,AFG,"Feb 26, 2020",0.026
Afghanistan,AFG,"Feb 27, 2020",0.026
Afghanistan,AFG,"Feb 28, 2020",0.026
Afghanistan,AFG,"Feb 29, 2020",0.026
Afghanistan,AFG,"Mar 1, 2020",0.026
Afghanistan,AFG,"Mar 2, 2020",0.026
Afghanistan,AFG,"Mar 8, 2020",0.103
Afghanistan,AFG,"Mar 11, 2020",0.18
Afghanistan,AFG,"Mar 15, 2020",0.257
Afghanistan,AFG,"Mar 16, 2020",0.411
Afghanistan,AFG,"Mar 17, 2020",0.539
Afghanistan,AFG,"Mar 18, 2020",0.565
Afghanistan,AFG,"Mar 19, 2020",0.565
Afghanistan,AFG,"Mar 20, 2020",0.565
Afghanistan,AFG,"Mar 21, 2020",0.617
Afghanistan,AFG,"Mar 22, 2020",0.617
Afghanistan,AFG,"Mar 23, 2020",0.873
Afghanistan,AFG,"Mar 24, 2020",1.028
Afghanistan,AFG,"Mar 25, 2020",1.079
Afghanistan,AFG,"Mar 26, 2020",1.927
Afghanistan,AFG,"Mar 27, 2020",1.927
Afghanistan,AFG,"Mar 28, 2020",2.338
Afghanistan,AFG,"Mar 29, 2020",2.723
Afghanistan,AFG,"Mar 30, 2020",2.928
Afghanistan,AFG,"Mar 31, 2020",3.622
Afghanistan,AFG,"Apr 1, 2020",4.264
Afghanistan,AFG,"Apr 2, 2020",4.932
Afghanistan,AFG,"Apr 3, 2020",6.037
Afghanistan,AFG,"Apr 4, 2020",6.037
Afghanistan,AFG,"Apr 5, 2020",6.936
Afghanistan,AFG,"Apr 6, 2020",7.681
Afghanistan,AFG,"Apr 7, 2020",8.657
Afghanistan,AFG,"Apr 8, 2020",9.428
Afghanistan,AFG,"Apr 9, 2020",10.866
Afghanistan,AFG,"Apr 10, 2020",12.433
Afghanistan,AFG,"Apr 11, 2020",13.384
Afghanistan,AFG,"Apr 12, 2020",14.257
Afghanistan,AFG,"Apr 13, 2020",15.593
Afghanistan,AFG,"Apr 14, 2020",17.083
Afghanistan,AFG,"Apr 15, 2020",18.341
Afghanistan,AFG,"Apr 16, 2020",20.14
Afghanistan,AFG,"Apr 17, 2020",20.396
Afghanistan,AFG,"Apr 18, 2020",21.707
Afghanistan,AFG,"Apr 19, 2020",23.325
Afghanistan,AFG,"Apr 20, 2020",25.585
Afghanistan,AFG,"Apr 21, 2020",26.485
Afghanistan,AFG,"Apr 22, 2020",28.052
Afghanistan,AFG,"Apr 23, 2020",30.209
Afghanistan,AFG,"Apr 24, 2020",32.907
Afghanistan,AFG,"Apr 25, 2020",34.705
Afghanistan,AFG,"Apr 26, 2020",37.582
Afghanistan,AFG,"Apr 27, 2020",39.329
Afghanistan,AFG,"Apr 28, 2020",43.747
Afghanistan,AFG,"Apr 29, 2020",46.932
Afghanistan,AFG,"Apr 30, 2020",50.066
Afghanistan,AFG,"May 1, 2020",55.769
Afghanistan,AFG,"May 2, 2020",59.982
Africa,,"Feb 15, 2020",0.001
Africa,,"Feb 16, 2020",0.001
Africa,,"Feb 17, 2020",0.001
Africa,,"Feb 18, 2020",0.001
Africa,,"Feb 19, 2020",0.001
Africa,,"Feb 20, 2020",0.001
